rate	title	country	rating_sum	year
5.7	特警90	香港	46.0	1989
6.3	封神榜	香港	46.0	1976
3.9	神剑七式	香港	46.0	1987
6.6	春火	香港	46.0	1970
6.6	黄金万两	香港	46.0	1965
6.6	金鹰	香港	46.0	1964
6.7	当不掉的记忆	香港	46.0	2014
3.8	我的野蛮男友	香港	47.0	2003
6.6	春暖花开	香港	47.0	1968
5.8	偶然	香港	47.0	1968
2.9	魔鬼屠夫	香港	47.0	2003
6.3	龙虎金刚	香港	47.0	1973
5.1	致命的诱惑	香港	47.0	1990
6.4	黑玫瑰与黑玫瑰	香港	47.0	1966
6.7	吃人井	香港	47.0	1974
5.1	鬼马姑爷仔	香港	47.0	1977
5.6	疯狂大笨贼	香港	47.0	1974
3.4	猛鬼医院	香港	47.0	1988
5.6	热	香港	47.0	2014
4.4	铁胆雄风	香港	47.0	1989
6.3	花月良宵	香港	48.0	1968
6.3	摩登菩呢提	香港	48.0	1996
5.6	新贴错门神	香港	48.0	1979
6.9	珠江泪	香港	48.0	1950
6.3	尸前想后	香港	48.0	2000
7.1	青春火花	香港	48.0	1994
6.5	洞房艳史	香港	48.0	1976
5.4	杀手风雷	香港	48.0	1995
5.8	雨中花	香港	48.0	1972
6.4	血肉磨坊	香港	48.0	1979
6.1	Stanley Beloved	香港	48.0	1998
7.9	大地	香港	48.0	1954
6.7	救世者	香港	48.0	1980
5.9	黑色迷墙	香港	48.0	1989
5.8	鬼流星	香港	48.0	1971
4.5	新七擒七纵七色狼	香港	48.0	1994
4.9	五雷轰顶	香港	49.0	1973
6.1	黑灵官	香港	49.0	1972
7.3	拳王	香港	49.0	1991
4.6	英雄人物	香港	49.0	2001
5.7	破茧急先锋	香港	49.0	1991
6.3	阿龙的故事	香港	49.0	2003
6.3	香港四重奏	香港	50.0	2010
6.5	双星伴月	香港	50.0	1975
6.3	四二六	香港	50.0	1977
7.2	南北喜相逢	香港	50.0	1964
6.1	春夏秋冬	香港	50.0	1969
7.3	孤星血泪	香港	50.0	1955
7.5	人约砵兰街	香港	50.0	1995
6.5	阿二一族	香港	50.0	1992
5.8	雍正与年羹尧	香港	50.0	1980
6.9	野姑娘	香港	50.0	1966
7.9	打归打，别打头	香港	50.0	2009
5.9	流氓英雄	香港	50.0	1986
5.2	Q畸恋人	香港	50.0	2000
6.4	古惑天堂	香港	50.0	1997
5.5	魔鬼天使	香港	50.0	1987
5.2	开发区杀人事件	香港	50.0	1994
6.9	电影故事	香港	50.0	1995
4.4	龙跨四海之致命情人	香港	50.0	1993
6.4	空中小姐	香港	51.0	1995
4.9	狱凤之杀出重围	香港	51.0	1993
5.5	新英雄儿女	香港	51.0	1990
6.6	魂断奈何天	香港	51.0	1966
